State,Total
Andaman and Nicobar Islands,2503
Andhra Pradesh,278454
Arunachal Pradesh,26644
Assam,169711
Bihar,730889
Chandigarh,102383
Chhattisgarh,199213
Dadra and Nagar Haveli,506
Daman and Diu,2972
Delhi,477014
Goa,32736
Gujarat,612927
Haryana,393278
Himachal Pradesh,62197
Jammu and Kashmir,139860
Jharkhand,423818
Karnataka,1575555
Kerala,225265
Ladakh,460
Lakshadweep,3089
Madhya Pradesh,249587
Maharashtra,1666802
Manipur,11926
Meghalaya,20391
Mizoram,6117
Nagaland,8118
Odisha,509061
Puducherry,17966
Punjab,238819
Rajasthan,364706
Sikkim,12480
Tamil Nadu,1829738
Telangana,666746
Tripura,28924
Uttar Pradesh,1286803
Uttarakhand,193575
West Bengal,4363405
Multiple Locations,14644706
State Not Specified,23800205
Total,55379549
